id_donatur,tanggal_donasi,kategori_donasi,nominal_donasi,metode_pembayaran,donasi_rutin,sumber_informasi,alasan_donasi,pernah_donasi
D0277,2026-04-11,Anak Yatim,50000,ShopeePay,Tidak,TikTok,Pendidikan,Tidak
D0278,2026-05-14,Anak Yatim,75000,QRIS,Tidak,WhatsApp,Sosial,Ya
D0279,2026-04-10,Bencana Alam,75000,ShopeePay,Ya,TikTok,Pendidikan,Tidak
D0280,2026-05-04,Rumah Ibadah,50000,DANA,Tidak,Website,Kepedulian Lingkungan,Tidak
D0281,2026-03-21,Pendidikan,500000,ShopeePay,Ya,Facebook,Kemanusiaan,Ya
D0282,2026-05-24,Rumah Ibadah,10000,QRIS,Tidak,TikTok,Kepedulian Lingkungan,Tidak
D0283,2026-03-16,Kesehatan,10000,DANA,Ya,WhatsApp,Kepedulian Lingkungan,Tidak
D0284,2026-05-04,Rumah Ibadah,75000,GoPay,Tidak,Email,Kemanusiaan,Ya
D0285,2026-05-26,Rumah Ibadah,250000,ShopeePay,Ya,Facebook,Pendidikan,Ya
D0286,2026-03-08,Bantuan Sosial,200000,Transfer Bank,Tidak,Instagram,Kemanusiaan,Tidak
D0287,2026-05-15,Pendidikan,100000,GoPay,Tidak,Email,Bencana,Tidak
D0288,2026-03-21,Panti Asuhan,75000,Transfer Bank,Ya,TikTok,Keagamaan,Tidak
D0289,2026-05-25,Anak Yatim,25000,QRIS,Tidak,Teman/Keluarga,Sosial,Ya
D0290,2026-03-26,Bantuan Sosial,150000,DANA,Tidak,Instagram,Pendidikan,Ya
D0291,2026-03-27,Kesehatan,200000,GoPay,Ya,Instagram,Sosial,Tidak
D0292,2026-04-03,Panti Asuhan,75000,GoPay,Tidak,Website,Kepedulian Lingkungan,Ya
D0293,2026-04-06,Lingkungan,50000,QRIS,Ya,WhatsApp,Sosial,Ya
D0294,2026-04-24,Anak Yatim,20000,ShopeePay,Tidak,TikTok,Bencana,Ya
D0295,2026-04-01,Kesehatan,200000,Transfer Bank,Tidak,Email,Bencana,Tidak
D0296,2026-04-26,Panti Asuhan,250000,ShopeePay,Ya,Teman/Keluarga,Keagamaan,Ya
D0297,2026-05-10,Panti Asuhan,250000,ShopeePay,Tidak,Instagram,Bencana,Ya
D0298,2026-03-11,Rumah Ibadah,500000,DANA,Ya,Facebook,Sosial,Tidak
D0299,2026-03-18,Rumah Ibadah,500000,OVO,Ya,Website,Pendidikan,Ya
D0300,2026-05-01,Kesehatan,250000,OVO,Tidak,Website,Kemanusiaan,Tidak
D0301,2026-05-29,Anak Yatim,10000,OVO,Tidak,Teman/Keluarga,Kemanusiaan,Ya
D0302,2026-05-17,Pendidikan,10000,OVO,Tidak,Email,Kemanusiaan,Ya
D0303,2026-03-12,Panti Asuhan,10000,GoPay,Tidak,Facebook,Keagamaan,Tidak
D0304,2026-04-20,Bantuan Sosial,200000,OVO,Tidak,Instagram,Kepedulian Lingkungan,Ya
D0305,2026-05-26,Lingkungan,20000,Transfer Bank,Tidak,Website,Keagamaan,Ya
D0306,2026-03-04,Bencana Alam,75000,OVO,Tidak,Website,Pendidikan,Ya
D0307,2026-04-04,Panti Asuhan,100000,Transfer Bank,Tidak,Facebook,Kepedulian Lingkungan,Ya
D0308,2026-03-08,Bantuan Sosial,500000,QRIS,Ya,Facebook,Kemanusiaan,Ya
D0309,2026-05-19,Bencana Alam,200000,DANA,Ya,Facebook,Kepedulian Lingkungan,Ya
D0310,2026-04-24,Panti Asuhan,50000,DANA,Ya,Teman/Keluarga,Kemanusiaan,Ya
D0311,2026-05-07,Anak Yatim,50000,ShopeePay,Tidak,Website,Bencana,Tidak
D0312,2026-04-03,Anak Yatim,25000,ShopeePay,Ya,WhatsApp,Sosial,Tidak
D0313,2026-03-11,Kesehatan,150000,DANA,Tidak,Instagram,Sosial,Tidak
D0314,2026-05-10,Lingkungan,150000,OVO,Ya,TikTok,Pendidikan,Ya
D0315,2026-05-11,Panti Asuhan,50000,Transfer Bank,Tidak,Teman/Keluarga,Kepedulian Lingkungan,Ya
D0316,2026-05-02,Bencana Alam,250000,OVO,Tidak,Website,Bencana,Ya
D0317,2026-04-22,Rumah Ibadah,75000,Transfer Bank,Tidak,Email,Kemanusiaan,Tidak
D0318,2026-04-20,Pendidikan,250000,ShopeePay,Ya,Instagram,Sosial,Tidak
D0319,2026-05-29,Bencana Alam,20000,Transfer Bank,Ya,WhatsApp,Keagamaan,Tidak
D0320,2026-04-11,Bencana Alam,50000,Transfer Bank,Ya,Email,Pendidikan,Ya
D0321,2026-06-01,Rumah Ibadah,150000,Transfer Bank,Tidak,Teman/Keluarga,Sosial,Tidak
D0322,2026-05-02,Lingkungan,75000,GoPay,Tidak,Website,Pendidikan,Tidak
D0323,2026-03-16,Panti Asuhan,100000,Transfer Bank,Tidak,TikTok,Pendidikan,Ya
D0324,2026-05-15,Rumah Ibadah,25000,QRIS,Tidak,Website,Bencana,Tidak
D0325,2026-04-10,Kesehatan,50000,GoPay,Ya,WhatsApp,Bencana,Ya
D0326,2026-05-06,Lingkungan,75000,OVO,Tidak,WhatsApp,Keagamaan,Tidak
D0327,2026-03-25,Kesehatan,250000,OVO,Ya,Website,Kepedulian Lingkungan,Ya
D0328,2026-05-10,Bencana Alam,20000,ShopeePay,Ya,Teman/Keluarga,Kemanusiaan,Tidak
D0329,2026-03-21,Rumah Ibadah,20000,ShopeePay,Ya,Instagram,Keagamaan,Tidak
D0330,2026-04-20,Bencana Alam,500000,ShopeePay,Tidak,Email,Pendidikan,Ya
D0331,2026-03-04,Bantuan Sosial,10000,QRIS,Tidak,Website,Sosial,Ya
D0332,2026-05-07,Bantuan Sosial,25000,QRIS,Ya,Website,Keagamaan,Ya
D0333,2026-03-28,Anak Yatim,100000,GoPay,Tidak,Instagram,Sosial,Tidak
D0334,2026-05-01,Rumah Ibadah,50000,GoPay,Ya,Email,Kepedulian Lingkungan,Ya
D0335,2026-03-15,Bantuan Sosial,150000,OVO,Tidak,Instagram,Kepedulian Lingkungan,Ya
D0336,2026-06-01,Kesehatan,20000,OVO,Tidak,Email,Sosial,Ya
D0337,2026-05-10,Bencana Alam,50000,Transfer Bank,Tidak,TikTok,Kemanusiaan,Ya
D0338,2026-05-30,Anak Yatim,250000,DANA,Ya,Facebook,Sosial,Ya
D0339,2026-03-30,Kesehatan,150000,QRIS,Tidak,Facebook,Bencana,Ya
D0340,2026-05-15,Bantuan Sosial,250000,GoPay,Tidak,Teman/Keluarga,Kepedulian Lingkungan,Ya
D0341,2026-05-31,Pendidikan,250000,ShopeePay,Tidak,Instagram,Kemanusiaan,Tidak
D0342,2026-04-02,Pendidikan,100000,DANA,Tidak,Teman/Keluarga,Sosial,Ya
D0343,2026-05-24,Anak Yatim,200000,OVO,Ya,TikTok,Bencana,Tidak
D0344,2026-04-28,Kesehatan,500000,ShopeePay,Tidak,Instagram,Bencana,Tidak
D0345,2026-04-04,Pendidikan,20000,GoPay,Ya,WhatsApp,Kepedulian Lingkungan,Ya
D0346,2026-04-22,Lingkungan,100000,QRIS,Ya,Instagram,Sosial,Tidak
D0347,2026-04-19,Anak Yatim,20000,Transfer Bank,Ya,Facebook,Pendidikan,Tidak
D0348,2026-05-14,Bantuan Sosial,20000,QRIS,Ya,TikTok,Bencana,Ya
D0349,2026-05-19,Lingkungan,150000,QRIS,Tidak,WhatsApp,Pendidikan,Ya
D0350,2026-05-14,Rumah Ibadah,500000,DANA,Ya,Email,Pendidikan,Ya
D0351,2026-03-21,Anak Yatim,75000,GoPay,Tidak,Facebook,Kemanusiaan,Ya
D0352,2026-04-28,Anak Yatim,150000,GoPay,Tidak,Teman/Keluarga,Kemanusiaan,Tidak
D0353,2026-04-05,Rumah Ibadah,200000,DANA,Ya,WhatsApp,Kemanusiaan,Ya
D0354,2026-04-11,Bencana Alam,150000,GoPay,Tidak,Teman/Keluarga,Sosial,Tidak
D0355,2026-04-15,Bantuan Sosial,500000,Transfer Bank,Tidak,TikTok,Bencana,Ya
D0356,2026-05-04,Lingkungan,25000,OVO,Tidak,TikTok,Kepedulian Lingkungan,Tidak
D0357,2026-05-16,Rumah Ibadah,100000,OVO,Tidak,Teman/Keluarga,Pendidikan,Tidak
D0358,2026-03-18,Rumah Ibadah,500000,DANA,Ya,Email,Bencana,Ya
D0359,2026-05-02,Rumah Ibadah,200000,GoPay,Ya,Teman/Keluarga,Pendidikan,Tidak
D0360,2026-03-21,Anak Yatim,50000,GoPay,Ya,Email,Pendidikan,Tidak
D0361,2026-03-13,Panti Asuhan,500000,OVO,Tidak,Website,Bencana,Tidak
D0362,2026-05-12,Bencana Alam,100000,ShopeePay,Ya,Instagram,Keagamaan,Tidak
D0363,2026-03-25,Bencana Alam,500000,ShopeePay,Tidak,Teman/Keluarga,Sosial,Tidak
D0364,2026-03-17,Bencana Alam,20000,GoPay,Ya,Website,Kepedulian Lingkungan,Ya
D0365,2026-04-30,Lingkungan,150000,OVO,Ya,TikTok,Kemanusiaan,Tidak
D0366,2026-03-17,Anak Yatim,150000,QRIS,Ya,Teman/Keluarga,Kepedulian Lingkungan,Ya
D0367,2026-04-17,Anak Yatim,100000,OVO,Ya,Website,Pendidikan,Tidak
D0368,2026-05-03,Pendidikan,200000,ShopeePay,Tidak,TikTok,Kemanusiaan,Tidak
D0369,2026-03-09,Pendidikan,10000,GoPay,Ya,Email,Keagamaan,Ya
D0370,2026-05-09,Kesehatan,250000,Transfer Bank,Tidak,Website,Pendidikan,Tidak
D0371,2026-04-02,Bantuan Sosial,25000,Transfer Bank,Tidak,WhatsApp,Kemanusiaan,Ya
D0372,2026-04-30,Bantuan Sosial,150000,QRIS,Ya,Facebook,Sosial,Ya
D0373,2026-05-16,Pendidikan,250000,Transfer Bank,Tidak,TikTok,Keagamaan,Tidak
D0374,2026-03-18,Anak Yatim,200000,DANA,Tidak,Website,Pendidikan,Tidak
D0375,2026-05-18,Pendidikan,100000,GoPay,Tidak,Website,Keagamaan,Tidak
D0376,2026-05-21,Pendidikan,25000,GoPay,Ya,Facebook,Sosial,Ya
D0377,2026-03-27,Lingkungan,25000,DANA,Tidak,WhatsApp,Bencana,Ya
D0378,2026-05-16,Bantuan Sosial,150000,Transfer Bank,Tidak,Email,Bencana,Ya
D0379,2026-05-14,Kesehatan,200000,GoPay,Ya,Facebook,Sosial,Tidak
D0380,2026-05-22,Bencana Alam,100000,QRIS,Tidak,Facebook,Keagamaan,Tidak
D0381,2026-05-14,Panti Asuhan,150000,ShopeePay,Tidak,WhatsApp,Kepedulian Lingkungan,Tidak
D0382,2026-05-05,Kesehatan,20000,DANA,Ya,Teman/Keluarga,Keagamaan,Tidak
D0383,2026-03-08,Anak Yatim,50000,DANA,Tidak,Facebook,Pendidikan,Tidak
D0384,2026-05-13,Pendidikan,500000,QRIS,Tidak,Teman/Keluarga,Bencana,Tidak
D0385,2026-05-12,Bencana Alam,200000,DANA,Ya,WhatsApp,Kemanusiaan,Ya
D0386,2026-04-11,Bencana Alam,200000,GoPay,Tidak,Teman/Keluarga,Kemanusiaan,Tidak
D0387,2026-03-19,Rumah Ibadah,50000,ShopeePay,Tidak,Teman/Keluarga,Kepedulian Lingkungan,Tidak
D0388,2026-03-25,Kesehatan,50000,Transfer Bank,Ya,Website,Sosial,Tidak
D0389,2026-05-19,Kesehatan,100000,ShopeePay,Tidak,TikTok,Bencana,Tidak
D0390,2026-05-08,Pendidikan,25000,OVO,Ya,TikTok,Kepedulian Lingkungan,Ya
D0391,2026-06-01,Kesehatan,50000,Transfer Bank,Tidak,Teman/Keluarga,Keagamaan,Tidak
D0392,2026-05-05,Kesehatan,500000,ShopeePay,Tidak,Email,Pendidikan,Tidak
D0393,2026-04-30,Pendidikan,20000,OVO,Tidak,Email,Sosial,Tidak
D0394,2026-05-05,Lingkungan,500000,QRIS,Ya,Email,Pendidikan,Tidak
D0395,2026-03-12,Bantuan Sosial,50000,OVO,Ya,WhatsApp,Sosial,Tidak
D0396,2026-04-09,Lingkungan,250000,DANA,Ya,Website,Pendidikan,Tidak
D0397,2026-05-30,Bencana Alam,10000,QRIS,Tidak,Instagram,Kemanusiaan,Ya
D0398,2026-04-29,Panti Asuhan,10000,OVO,Ya,Email,Keagamaan,Tidak
D0399,2026-03-24,Anak Yatim,20000,ShopeePay,Tidak,TikTok,Kemanusiaan,Tidak
D0400,2026-05-28,Kesehatan,10000,OVO,Tidak,Email,Kepedulian Lingkungan,Ya
D0401,2026-04-27,Pendidikan,20000,QRIS,Ya,WhatsApp,Kemanusiaan,Ya
D0402,2026-05-18,Rumah Ibadah,250000,ShopeePay,Tidak,Instagram,Kemanusiaan,Tidak
D0403,2026-03-19,Bantuan Sosial,25000,OVO,Ya,Facebook,Pendidikan,Ya
D0404,2026-03-17,Pendidikan,100000,GoPay,Tidak,Facebook,Pendidikan,Ya
D0405,2026-05-25,Kesehatan,20000,DANA,Ya,Website,Kepedulian Lingkungan,Ya
D0406,2026-04-29,Lingkungan,50000,ShopeePay,Ya,WhatsApp,Bencana,Tidak
D0407,2026-03-31,Pendidikan,20000,Transfer Bank,Ya,Website,Kepedulian Lingkungan,Tidak
D0408,2026-04-17,Bantuan Sosial,100000,Transfer Bank,Ya,TikTok,Kepedulian Lingkungan,Ya
D0409,2026-04-04,Anak Yatim,10000,ShopeePay,Tidak,Facebook,Bencana,Ya
D0410,2026-04-23,Anak Yatim,10000,Transfer Bank,Tidak,WhatsApp,Kemanusiaan,Ya
D0411,2026-05-06,Pendidikan,250000,QRIS,Tidak,TikTok,Keagamaan,Tidak
D0412,2026-05-15,Bantuan Sosial,100000,DANA,Ya,Teman/Keluarga,Pendidikan,Ya
D0413,2026-03-06,Pendidikan,10000,GoPay,Ya,Instagram,Kemanusiaan,Tidak
D0414,2026-05-07,Anak Yatim,250000,OVO,Tidak,Email,Pendidikan,Ya
D0415,2026-05-24,Kesehatan,75000,QRIS,Tidak,Instagram,Bencana,Ya
D0416,2026-03-23,Lingkungan,150000,DANA,Ya,TikTok,Kepedulian Lingkungan,Tidak
D0417,2026-04-03,Bencana Alam,50000,QRIS,Tidak,Instagram,Pendidikan,Ya
D0418,2026-04-12,Kesehatan,20000,QRIS,Ya,Email,Kemanusiaan,Ya
D0419,2026-05-06,Lingkungan,250000,DANA,Tidak,Facebook,Sosial,Ya
D0420,2026-04-07,Pendidikan,10000,GoPay,Tidak,TikTok,Bencana,Ya
D0421,2026-04-06,Pendidikan,200000,OVO,Tidak,Instagram,Pendidikan,Ya
D0422,2026-04-20,Kesehatan,75000,QRIS,Ya,Facebook,Kepedulian Lingkungan,Ya
D0423,2026-03-09,Bencana Alam,50000,QRIS,Tidak,TikTok,Pendidikan,Ya
D0424,2026-03-26,Bencana Alam,250000,ShopeePay,Tidak,Facebook,Sosial,Ya
D0425,2026-04-26,Lingkungan,75000,QRIS,Tidak,Instagram,Bencana,Ya
D0426,2026-03-26,Rumah Ibadah,250000,QRIS,Tidak,Instagram,Pendidikan,Tidak
D0427,2026-04-12,Lingkungan,20000,DANA,Tidak,Instagram,Sosial,Ya
D0428,2026-04-10,Anak Yatim,500000,Transfer Bank,Tidak,TikTok,Bencana,Tidak
D0429,2026-03-29,Rumah Ibadah,25000,QRIS,Tidak,Instagram,Keagamaan,Tidak
D0430,2026-05-24,Bencana Alam,100000,QRIS,Tidak,Teman/Keluarga,Kepedulian Lingkungan,Tidak
D0431,2026-03-17,Rumah Ibadah,250000,Transfer Bank,Tidak,WhatsApp,Kemanusiaan,Ya
D0432,2026-04-08,Pendidikan,10000,Transfer Bank,Tidak,Email,Sosial,Tidak
D0433,2026-03-14,Pendidikan,250000,Transfer Bank,Tidak,Instagram,Bencana,Ya
D0434,2026-04-28,Kesehatan,50000,GoPay,Tidak,Teman/Keluarga,Sosial,Tidak
D0435,2026-06-01,Lingkungan,100000,OVO,Tidak,Facebook,Kemanusiaan,Ya
D0436,2026-03-21,Pendidikan,25000,QRIS,Ya,WhatsApp,Pendidikan,Tidak
D0437,2026-04-25,Pendidikan,250000,GoPay,Ya,WhatsApp,Sosial,Tidak
D0438,2026-04-06,Pendidikan,20000,Transfer Bank,Tidak,Teman/Keluarga,Kepedulian Lingkungan,Ya
D0439,2026-03-31,Lingkungan,25000,QRIS,Ya,TikTok,Pendidikan,Ya
D0440,2026-05-29,Anak Yatim,75000,Transfer Bank,Ya,WhatsApp,Pendidikan,Ya
D0441,2026-03-16,Panti Asuhan,20000,Transfer Bank,Ya,Instagram,Kemanusiaan,Ya
D0442,2026-03-20,Rumah Ibadah,150000,GoPay,Ya,Website,Bencana,Tidak
D0443,2026-03-13,Bencana Alam,20000,Transfer Bank,Tidak,Teman/Keluarga,Keagamaan,Ya
D0444,2026-04-15,Pendidikan,10000,OVO,Ya,Facebook,Bencana,Tidak
D0445,2026-04-23,Panti Asuhan,10000,OVO,Tidak,Facebook,Sosial,Ya
D0446,2026-03-27,Anak Yatim,75000,OVO,Ya,Instagram,Bencana,Ya
D0447,2026-05-25,Anak Yatim,200000,OVO,Tidak,Instagram,Kemanusiaan,Tidak
D0448,2026-04-22,Kesehatan,150000,Transfer Bank,Ya,Email,Bencana,Ya
D0449,2026-04-21,Lingkungan,200000,DANA,Tidak,TikTok,Bencana,Tidak
D0450,2026-04-22,Anak Yatim,25000,QRIS,Tidak,Website,Keagamaan,Ya
D0451,2026-04-08,Bencana Alam,200000,DANA,Tidak,Teman/Keluarga,Bencana,Ya
D0452,2026-03-24,Pendidikan,50000,ShopeePay,Ya,TikTok,Bencana,Ya
D0453,2026-04-01,Bantuan Sosial,100000,Transfer Bank,Ya,Facebook,Bencana,Tidak
D0454,2026-06-01,Lingkungan,500000,QRIS,Tidak,Website,Bencana,Ya
D0455,2026-05-15,Rumah Ibadah,200000,DANA,Tidak,Facebook,Pendidikan,Ya
D0456,2026-03-15,Bencana Alam,50000,DANA,Ya,Instagram,Bencana,Tidak
D0457,2026-03-04,Lingkungan,500000,Transfer Bank,Ya,TikTok,Kepedulian Lingkungan,Ya
D0458,2026-04-14,Bencana Alam,10000,Transfer Bank,Ya,Teman/Keluarga,Kemanusiaan,Tidak
D0459,2026-03-13,Lingkungan,150000,DANA,Ya,TikTok,Sosial,Tidak
D0460,2026-03-21,Kesehatan,150000,ShopeePay,Tidak,Email,Sosial,Ya
D0461,2026-06-02,Lingkungan,50000,ShopeePay,Ya,WhatsApp,Sosial,Tidak
D0462,2026-03-20,Kesehatan,10000,ShopeePay,Tidak,Teman/Keluarga,Bencana,Ya
D0463,2026-03-27,Lingkungan,500000,Transfer Bank,Ya,WhatsApp,Keagamaan,Tidak
D0464,2026-03-13,Rumah Ibadah,100000,GoPay,Ya,Email,Kemanusiaan,Tidak
D0465,2026-04-30,Bencana Alam,75000,Transfer Bank,Ya,Email,Kemanusiaan,Tidak
D0466,2026-04-05,Pendidikan,10000,QRIS,Tidak,WhatsApp,Kepedulian Lingkungan,Tidak
D0467,2026-03-25,Bantuan Sosial,200000,OVO,Tidak,Website,Pendidikan,Ya
D0468,2026-05-04,Rumah Ibadah,25000,OVO,Ya,Teman/Keluarga,Kemanusiaan,Tidak
D0469,2026-03-06,Lingkungan,75000,QRIS,Ya,TikTok,Keagamaan,Tidak
D0470,2026-03-24,Pendidikan,250000,QRIS,Tidak,Website,Bencana,Tidak
D0471,2026-06-02,Bencana Alam,150000,ShopeePay,Ya,Website,Pendidikan,Ya
D0472,2026-03-10,Pendidikan,100000,Transfer Bank,Ya,WhatsApp,Kepedulian Lingkungan,Tidak
D0473,2026-05-27,Anak Yatim,75000,Transfer Bank,Ya,Instagram,Pendidikan,Tidak
D0474,2026-03-23,Bencana Alam,100000,QRIS,Tidak,Instagram,Sosial,Tidak
D0475,2026-03-29,Pendidikan,10000,Transfer Bank,Ya,Email,Sosial,Ya
D0476,2026-05-03,Pendidikan,75000,OVO,Tidak,WhatsApp,Kepedulian Lingkungan,Tidak
D0477,2026-03-15,Bantuan Sosial,25000,GoPay,Tidak,TikTok,Keagamaan,Tidak
D0478,2026-03-09,Anak Yatim,200000,OVO,Tidak,Facebook,Sosial,Ya
D0479,2026-03-23,Pendidikan,20000,ShopeePay,Tidak,Teman/Keluarga,Bencana,Tidak
D0480,2026-05-18,Rumah Ibadah,250000,QRIS,Tidak,Teman/Keluarga,Bencana,Tidak
D0481,2026-05-11,Panti Asuhan,500000,Transfer Bank,Tidak,TikTok,Kemanusiaan,Tidak
D0482,2026-03-08,Kesehatan,20000,OVO,Ya,Facebook,Keagamaan,Ya
D0483,2026-03-20,Bencana Alam,150000,QRIS,Tidak,Facebook,Kepedulian Lingkungan,Ya
D0484,2026-05-19,Anak Yatim,100000,ShopeePay,Ya,Instagram,Pendidikan,Tidak
D0485,2026-05-13,Lingkungan,75000,DANA,Tidak,Teman/Keluarga,Kemanusiaan,Tidak
D0486,2026-03-18,Bantuan Sosial,25000,Transfer Bank,Ya,Instagram,Bencana,Ya
D0487,2026-04-09,Lingkungan,150000,GoPay,Tidak,Email,Pendidikan,Tidak
D0488,2026-03-08,Kesehatan,75000,OVO,Ya,Website,Bencana,Tidak
D0489,2026-03-08,Bantuan Sosial,100000,ShopeePay,Ya,Instagram,Kepedulian Lingkungan,Tidak
D0490,2026-04-07,Lingkungan,10000,GoPay,Tidak,TikTok,Sosial,Tidak
D0491,2026-06-01,Pendidikan,50000,Transfer Bank,Tidak,Email,Pendidikan,Tidak
D0492,2026-04-07,Bantuan Sosial,500000,ShopeePay,Ya,Facebook,Pendidikan,Ya
D0493,2026-04-25,Panti Asuhan,250000,GoPay,Ya,Website,Keagamaan,Ya
D0494,2026-04-12,Bantuan Sosial,25000,DANA,Ya,Facebook,Keagamaan,Ya
D0495,2026-03-11,Rumah Ibadah,10000,OVO,Ya,TikTok,Kepedulian Lingkungan,Ya
D0496,2026-04-08,Lingkungan,200000,DANA,Tidak,Email,Kemanusiaan,Ya
D0497,2026-04-03,Lingkungan,200000,DANA,Tidak,Facebook,Pendidikan,Tidak
D0498,2026-04-17,Kesehatan,75000,ShopeePay,Ya,TikTok,Kemanusiaan,Tidak
D0499,2026-03-10,Kesehatan,500000,Transfer Bank,Ya,Email,Keagamaan,Ya
D0500,2026-04-07,Bantuan Sosial,250000,QRIS,Ya,WhatsApp,Keagamaan,Ya
D0501,2026-05-19,Bencana Alam,50000,GoPay,Tidak,Email,Kepedulian Lingkungan,Tidak
D0502,2026-04-27,Bantuan Sosial,100000,OVO,Tidak,Facebook,Pendidikan,Tidak
D0503,2026-05-29,Bantuan Sosial,500000,QRIS,Ya,Website,Kepedulian Lingkungan,Tidak
D0504,2026-05-14,Anak Yatim,75000,ShopeePay,Ya,WhatsApp,Kemanusiaan,Tidak
D0505,2026-04-08,Lingkungan,75000,GoPay,Tidak,Facebook,Keagamaan,Ya
D0506,2026-03-11,Bantuan Sosial,100000,ShopeePay,Ya,Email,Kemanusiaan,Tidak
D0507,2026-04-10,Anak Yatim,150000,OVO,Tidak,Email,Kemanusiaan,Ya
D0508,2026-04-16,Rumah Ibadah,250000,ShopeePay,Tidak,Email,Sosial,Tidak
D0509,2026-03-25,Kesehatan,75000,QRIS,Tidak,Facebook,Kepedulian Lingkungan,Tidak
D0510,2026-05-14,Kesehatan,100000,ShopeePay,Ya,Facebook,Sosial,Ya
D0511,2026-04-12,Bantuan Sosial,100000,GoPay,Tidak,Website,Sosial,Tidak
D0512,2026-03-19,Panti Asuhan,10000,ShopeePay,Ya,WhatsApp,Keagamaan,Ya
D0513,2026-05-30,Bantuan Sosial,250000,GoPay,Tidak,Instagram,Keagamaan,Ya
D0514,2026-03-29,Lingkungan,150000,DANA,Tidak,Facebook,Sosial,Ya
D0515,2026-03-14,Panti Asuhan,100000,ShopeePay,Ya,TikTok,Kepedulian Lingkungan,Ya
D0516,2026-03-04,Panti Asuhan,75000,Transfer Bank,Ya,Website,Keagamaan,Tidak
D0517,2026-03-15,Kesehatan,500000,OVO,Tidak,WhatsApp,Pendidikan,Tidak
D0518,2026-04-22,Bencana Alam,10000,DANA,Ya,Email,Sosial,Ya
D0519,2026-04-14,Rumah Ibadah,10000,ShopeePay,Ya,Email,Kepedulian Lingkungan,Ya
D0520,2026-04-01,Lingkungan,75000,Transfer Bank,Ya,WhatsApp,Bencana,Tidak
D0521,2026-03-25,Pendidikan,10000,GoPay,Tidak,WhatsApp,Kepedulian Lingkungan,Tidak
D0522,2026-04-28,Kesehatan,100000,OVO,Tidak,Teman/Keluarga,Keagamaan,Ya
D0523,2026-04-24,Bencana Alam,50000,Transfer Bank,Ya,Facebook,Kepedulian Lingkungan,Ya
D0524,2026-05-18,Kesehatan,20000,GoPay,Ya,WhatsApp,Kepedulian Lingkungan,Tidak
D0525,2026-05-11,Bencana Alam,500000,QRIS,Ya,Email,Kemanusiaan,Ya
D0526,2026-05-31,Pendidikan,150000,OVO,Tidak,Instagram,Bencana,Tidak
D0527,2026-05-03,Kesehatan,50000,ShopeePay,Ya,TikTok,Pendidikan,Ya
D0528,2026-05-27,Anak Yatim,500000,DANA,Ya,WhatsApp,Kemanusiaan,Ya
D0529,2026-04-09,Pendidikan,20000,OVO,Ya,Website,Keagamaan,Tidak
D0530,2026-05-09,Rumah Ibadah,100000,ShopeePay,Tidak,TikTok,Keagamaan,Ya
D0531,2026-05-13,Panti Asuhan,50000,ShopeePay,Tidak,TikTok,Keagamaan,Ya
D0532,2026-03-05,Pendidikan,20000,DANA,Tidak,Facebook,Kemanusiaan,Ya
D0533,2026-03-16,Anak Yatim,50000,OVO,Tidak,TikTok,Pendidikan,Ya
D0534,2026-03-16,Kesehatan,10000,GoPay,Tidak,Teman/Keluarga,Kepedulian Lingkungan,Tidak
D0535,2026-04-27,Pendidikan,20000,QRIS,Ya,Teman/Keluarga,Keagamaan,Ya
D0536,2026-04-15,Lingkungan,200000,DANA,Tidak,Email,Kemanusiaan,Tidak
D0537,2026-04-16,Kesehatan,20000,OVO,Tidak,WhatsApp,Sosial,Tidak
D0538,2026-05-31,Panti Asuhan,150000,ShopeePay,Ya,Instagram,Keagamaan,Ya
D0539,2026-03-24,Pendidikan,150000,DANA,Tidak,Teman/Keluarga,Bencana,Tidak
D0540,2026-03-27,Bantuan Sosial,100000,DANA,Ya,Teman/Keluarga,Kepedulian Lingkungan,Ya
D0541,2026-05-04,Panti Asuhan,20000,OVO,Tidak,Instagram,Kemanusiaan,Tidak
D0542,2026-05-26,Lingkungan,10000,ShopeePay,Ya,Email,Sosial,Ya
D0543,2026-04-28,Rumah Ibadah,200000,GoPay,Tidak,Facebook,Bencana,Ya
D0544,2026-03-05,Kesehatan,250000,OVO,Tidak,Teman/Keluarga,Keagamaan,Ya
D0545,2026-05-05,Lingkungan,50000,GoPay,Tidak,Instagram,Bencana,Ya
D0546,2026-05-13,Bantuan Sosial,150000,Transfer Bank,Ya,WhatsApp,Pendidikan,Tidak
D0547,2026-03-15,Panti Asuhan,200000,GoPay,Ya,WhatsApp,Kepedulian Lingkungan,Ya
D0548,2026-03-17,Bantuan Sosial,150000,QRIS,Ya,Teman/Keluarga,Kemanusiaan,Tidak
D0549,2026-05-08,Rumah Ibadah,200000,GoPay,Tidak,Teman/Keluarga,Kemanusiaan,Ya
D0550,2026-05-01,Lingkungan,250000,DANA,Tidak,Email,Kepedulian Lingkungan,Tidak
D0551,2026-04-30,Pendidikan,20000,ShopeePay,Ya,Instagram,Sosial,Tidak
D0552,2026-05-24,Anak Yatim,250000,DANA,Tidak,Email,Kemanusiaan,Ya
D0553,2026-03-25,Panti Asuhan,25000,ShopeePay,Tidak,Instagram,Sosial,Ya
D0554,2026-03-28,Pendidikan,150000,Transfer Bank,Tidak,Teman/Keluarga,Keagamaan,Tidak
D0555,2026-03-17,Bantuan Sosial,10000,ShopeePay,Ya,Teman/Keluarga,Pendidikan,Tidak
